Salesforce_ID,CreatedDate,FirstName,LastName,Email,Phone,Company,LeadSource,Status,Churn
SF-f135acaf,2024-12-31T16:39:51.357132,Melissa,Rodriguez,burgesscraig@example.org,(659)733-3378x70650,Maxwell Ltd,Referral,Working,0
SF-f0a2cd3c,2023-03-14T20:05:52.240183,Adrian,Chang,seanmunoz@example.org,(985)734-3832,Wong-Becker,Web,Working,1
SF-89c87ae8,2024-10-13T18:24:38.363084,Michael,Craig,douglaskaren@example.org,399-626-4173x8661,Fisher and Sons,Web,Converted,1
SF-2cb14743,2024-07-28T15:27:55.404905,Holly,Larson,vincent27@example.com,751.484.6636,Hamilton LLC,Trade Show,New,0
SF-1906782f,2023-03-03T19:16:57.754639,Lisa,Allen,chambersmatthew@example.net,273.690.7188,Kaufman-Cardenas,Web,Nurturing,0
SF-2627d782,2023-10-07T11:44:39.625616,John,Rivera,miranda66@example.net,752-983-1701x5918,Nelson LLC,Web,Nurturing,0
SF-01a04278,2023-12-17T00:00:10.002474,Shannon,Rodgers,laurahenderson@example.org,481-427-4418,Powell-Hendrix,Cold Call,Converted,0
SF-39da8789,2024-08-11T16:20:58.561562,David,Davidson,gonzaleserin@example.com,001-688-587-5336x48608,"Nash, Smith and Gutierrez",Cold Call,Nurturing,0
SF-82552569,2023-10-20T11:03:55.563732,Jessica,Miller,codycarlson@example.net,922-881-1861x617,Bell Inc,Referral,Converted,0
SF-61551dad,2024-05-05T08:09:21.904751,Stephanie,Young,vbraun@example.com,754.450.0513,Pham Group,Web,New,1
SF-142ad2c0,2024-12-19T18:28:44.128842,Richard,Morgan,andreasmith@example.org,473.603.4955,Price and Sons,Referral,Converted,1
SF-c35bd1a1,2024-01-25T16:38:49.201826,Amber,Gutierrez,william08@example.net,001-957-327-4139,Sanchez-Williams,Web,Nurturing,0
SF-4e27984f,2024-04-23T15:29:09.459480,David,Berry,emily64@example.com,636-572-4969,Brown LLC,Cold Call,Working,1
SF-a722c9e5,2025-02-06T16:45:16.834258,Stephen,Torres,marywood@example.com,667-958-0915x3758,Barrett Ltd,Trade Show,Converted,0
SF-b8270367,2023-08-08T21:09:19.847388,Jenna,Collins,smithfrederick@example.org,831.714.4694x26256,Nguyen-Harvey,Trade Show,Converted,1
SF-c387d12c,2025-02-13T12:12:47.436120,Amanda,Hernandez,jesse01@example.net,+1-476-685-5339,"Wood, Ray and Steele",Cold Call,Working,0
SF-d1becc37,2024-03-20T16:24:33.491676,Eddie,Kelly,rodriguezkimberly@example.com,001-356-849-4708x81101,"Fuentes, Yoder and Houston",Referral,Converted,1
SF-9b969c48,2024-11-26T07:25:33.569384,Brian,Carlson,warnerstephanie@example.com,(346)889-5708,Brown Group,Cold Call,Converted,1
SF-81b49f11,2024-04-20T03:22:23.257221,Susan,Johnson,allison35@example.org,271.470.9641x50521,Jones-Leonard,Trade Show,Closed - Lost,1
SF-bea7c776,2023-09-10T15:03:58.816938,Matthew,Martin,lisaedwards@example.org,001-358-594-5660x9904,"Johnson, Gordon and Miller",Partner,Nurturing,0
SF-f63e758d,2023-07-18T12:49:05.346366,Kyle,Phillips,gomezamanda@example.net,(600)916-1780,"Hernandez, Zamora and Diaz",Referral,Working,0
SF-57e49df8,2024-11-19T03:27:35.789861,Tony,Gentry,lcastillo@example.net,(793)754-6258x3466,"Hebert, Hamilton and Nelson",Web,Working,1
SF-d453cfba,2023-06-22T19:25:06.614500,Samantha,Jones,lyang@example.org,950-688-8260x475,Villarreal LLC,Referral,Working,1
